available_files,metadata_stations,missing_from_available
ASN00007023,ASN00007023,
ASN00007024,ASN00007024,
ASN00007025,ASN00007025,
ASN00007026,ASN00007026,
ASN00007027,ASN00007027,
ASN00007028,ASN00007028,
ASN00007029,ASN00007029,
ASN00007030,ASN00007030,
ASN00007031,ASN00007031,
ASN00007032,ASN00007032,
ASN00007033,ASN00007033,
ASN00007034,ASN00007034,
ASN00007035,ASN00007035,
ASN00007036,ASN00007036,
ASN00007037,ASN00007037,
ASN00007038,ASN00007038,
ASN00007039,ASN00007039,
ASN00007040,ASN00007040,
ASN00007041,ASN00007041,
ASN00007042,ASN00007042,
ASN00007043,ASN00007043,
ASN00007044,ASN00007044,
ASN00007045,ASN00007045,
ASN00007046,ASN00007046,
ASN00007047,ASN00007047,
ASN00007048,ASN00007048,
ASN00007049,ASN00007049,
ASN00007050,ASN00007050,
ASN00007051,ASN00007051,
ASN00007052,ASN00007052,
ASN00007053,ASN00007053,
ASN00007054,ASN00007054,
ASN00007055,ASN00007055,
ASN00007056,ASN00007056,
ASN00007057,ASN00007057,
ASN00007058,ASN00007058,
ASN00007059,ASN00007059,
ASN00007060,ASN00007060,
ASN00007061,ASN00007061,
ASN00007062,ASN00007062,
ASN00007063,ASN00007063,
ASN00007064,ASN00007064,
ASN00007065,ASN00007065,
ASN00007066,ASN00007066,
ASN00007067,ASN00007067,
ASN00007068,ASN00007068,
ASN00007069,ASN00007069,
ASN00007070,ASN00007070,
ASN00007071,ASN00007071,
ASN00007072,ASN00007072,
ASN00007073,ASN00007073,
ASN00007074,ASN00007074,
ASN00007075,ASN00007075,
ASN00007076,ASN00007076,
ASN00007077,ASN00007077,
ASN00007078,ASN00007078,
ASN00007079,ASN00007079,
ASN00007080,ASN00007080,
ASN00007081,ASN00007081,
ASN00007082,ASN00007082,
